Date,Open,High,Low,Close,Adj Close,Volume
2023-12-08,1310.0,1400.0,1310.0,1370.0,1370.0,50683400
2023-12-11,1370.0,1440.0,1365.0,1390.0,1390.0,46007100
2023-12-12,1405.0,1435.0,1370.0,1395.0,1395.0,25499200
2023-12-13,1395.0,1420.0,1300.0,1305.0,1305.0,33125800
2023-12-14,1305.0,1380.0,1305.0,1380.0,1380.0,27536900
2023-12-15,1390.0,1430.0,1370.0,1415.0,1415.0,24369500
2023-12-18,1405.0,1485.0,1380.0,1385.0,1385.0,53575000
2023-12-19,1390.0,1460.0,1385.0,1440.0,1440.0,16471700
2023-12-20,1450.0,1470.0,1405.0,1410.0,1410.0,19455700
2023-12-21,1410.0,1410.0,1355.0,1370.0,1370.0,15891200
2023-12-22,1370.0,1395.0,1325.0,1345.0,1345.0,14740000
2023-12-27,1360.0,1360.0,1330.0,1330.0,1330.0,16676800
2023-12-28,1335.0,1385.0,1320.0,1365.0,1365.0,15519200
2023-12-29,1365.0,1375.0,1335.0,1360.0,1360.0,9658600
2024-01-02,1355.0,1415.0,1355.0,1410.0,1410.0,16832300
2024-01-03,1415.0,1415.0,1375.0,1390.0,1390.0,19641000
2024-01-04,1390.0,1420.0,1385.0,1405.0,1405.0,11072700
2024-01-05,1410.0,1420.0,1360.0,1370.0,1370.0,18888500
2024-01-08,1370.0,1370.0,1305.0,1330.0,1330.0,28606200
2024-01-09,1345.0,1350.0,1260.0,1285.0,1285.0,34696100
2024-01-10,1290.0,1355.0,1280.0,1350.0,1350.0,31769900
2024-01-11,1350.0,1380.0,1330.0,1365.0,1365.0,25320100
2024-01-12,1370.0,1380.0,1340.0,1355.0,1355.0,14620000
2024-01-15,1355.0,1355.0,1355.0,1355.0,1355.0,0
2024-01-16,1340.0,1340.0,1305.0,1315.0,1315.0,11688000
2024-01-17,1315.0,1315.0,1270.0,1285.0,1285.0,30140200
2024-01-18,1275.0,1315.0,1275.0,1285.0,1285.0,14175300
2024-01-19,1285.0,1315.0,1280.0,1295.0,1295.0,12234700
2024-01-22,1295.0,1305.0,1285.0,1295.0,1295.0,6919500
2024-01-23,1295.0,1400.0,1280.0,1355.0,1355.0,26589900
2024-01-24,1360.0,1380.0,1335.0,1365.0,1365.0,30370800
2024-01-25,1370.0,1410.0,1370.0,1375.0,1375.0,32924400
2024-01-26,1375.0,1375.0,1300.0,1305.0,1305.0,33459900
2024-01-29,1310.0,1390.0,1310.0,1380.0,1380.0,25974000
2024-01-30,1380.0,1485.0,1350.0,1485.0,1485.0,67587100
